nom_produit,ancien_prix,nouveau_prix
SPEAKER BLUETOOTH MP3 +FM  A72,2500,
SPEAKER BLUETOOTH MP3 +FM  A90,2000,
SPEAKER BAFFLE BLUETOOTH ALP-1202 / 1500W PMPO,22500,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC AVC-K15,42500,
SPEAKER BLUETOOTH MP3 B126,3500,
BAFLE MUTIMEDIA SPEAKER USB+BLUETOOTH B310,7500,
SPEAKER TROLLEY 2200 MP3+BT+MIC / 2100,45000,
HOME THEATRE /SPEAKER 5.1 LONG 9900,50000,
BAFFLE 281/2810 / NEW BAFFLE MIX,13500,
SPEAKER BAFLE +BLUETOOTH BC-F20,30000,
SPEAKER BAFLE +BLUETOOTH BC-Y12,45000,
BAFLE SPEAKER +MP3+BT BK-1088BT,35000,
SPEAKER BLUETOOTH MP3 +FM  BS-201,4000,
BLISS BS-2423 RADIO BLUETOOTH,8000,
SPEAKER SELECT SOUND MP3+MIC+ BT-1108 / BT1208,12000,
TROLLEY MP3+BT SPEAKER BAFLE BT-12 / W-D12 /,30000,
EOLUTION MP3+BT SPEAKER BAFLE BT-12+ /,32500,
EOLUTION MP3+BT SPEAKER BAFLE BT-15 /,45000,
ZQS BT-1776 BT SPEAKER,17000,
BT-1803/ ZQS-1803 BT SPEAKER,7000,
BT BAFLE SPEAKER BT1819 / ZQS1819/ZQS1820 /,14500,
ZQS BAFLE SPEAKER BT-1860/ ZQS-1860,10000,
BAFFLE CA230S,6000,
SUPER MAX WOOFER CA62/CA63,10000,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC CH-1012,25000,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC CH-1026,75000,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC CH-126,75000,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC CH-200A,80000,
BAFFLE CH303,3000,
BAFFLE CH303C,3000,
SPEAKER BLUETOOTH MP3 +FM  CH-30A,1500,
SPEAKER BAFLE +BLUETOOTH CH6220,75000,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC CH-802,10000,
TWS BAFLE BT+MP3 TROLLEY + MIC CH-810,10000,
TWS BAFLE BT+MP3 TROLLEY + MIC CH-812 / CH-811 /,10000,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC CH-8-1W,25000,
AVCROWNS BAFLE BT+MP3 TROLLEY + MIC CH-8802 / CH-8803,17500,
WIRELESS SPEACKER BAFFLE BLUETOOTH CHARGE MINI 3+,2000,
SPEAKER BLUETOOTH MP3 +FM  CHM07A,7500,
SPEAKER BLUETOOTH CHM09A,7000,
